reg,date,Alpha,Beta,Delta,Gamma,Others,Sequences,Cases
0,2020-02-24,0,0,0,0,35,35,56
0,2020-03-02,0,0,0,0,92,92,376
0,2020-03-09,1,0,0,0,346,347,2266
0,2020-03-16,0,0,0,0,492,492,6558
0,2020-03-23,0,0,0,0,207,207,7345
0,2020-03-30,0,0,0,0,207,207,6026
0,2020-04-06,0,0,0,0,113,113,3599
0,2020-04-13,0,0,0,0,49,49,1840
0,2020-04-20,0,0,0,0,43,43,1167
0,2020-04-27,0,0,0,0,79,79,700
0,2020-05-04,0,0,0,0,28,28,401
0,2020-05-11,1,0,0,0,11,12,231
0,2020-05-18,0,0,0,0,12,12,154
0,2020-05-25,0,0,0,0,11,11,126
0,2020-06-01,0,0,0,0,16,16,99
0,2020-06-08,0,0,0,0,11,11,140
0,2020-06-15,0,0,0,0,14,14,171
0,2020-06-22,0,0,0,0,30,30,357
0,2020-06-29,0,0,0,0,59,59,684
0,2020-07-06,0,0,0,0,91,91,635
0,2020-07-13,0,0,0,0,78,78,715
0,2020-07-20,0,0,0,0,81,81,826
0,2020-07-27,0,0,0,0,64,64,1155
0,2020-08-03,0,0,0,0,77,77,1100
0,2020-08-10,0,0,0,0,97,97,1574
0,2020-08-17,0,0,0,0,124,124,1855
0,2020-08-24,0,0,0,0,183,183,2092
0,2020-08-31,0,0,0,0,115,115,2456
0,2020-09-07,0,0,0,0,173,173,2860
0,2020-09-14,0,0,0,0,13,13,2905
0,2020-09-21,0,0,0,0,39,39,2219
0,2020-09-28,0,0,0,0,169,169,3463
0,2020-10-05,0,0,0,0,276,276,8750
0,2020-10-12,0,0,0,0,539,539,19481
0,2020-10-19,2,0,0,0,474,476,39670
0,2020-10-26,0,0,0,0,475,475,55828
0,2020-11-02,0,0,0,0,1145,1145,51190
0,2020-11-09,13,0,0,0,1089,1102,39583
0,2020-11-16,0,0,0,0,581,581,30114
0,2020-11-23,8,0,0,0,708,716,26196
0,2020-11-30,2,0,0,0,703,705,27282
0,2020-12-07,5,0,0,0,758,763,30005
0,2020-12-14,9,2,0,0,1697,1708,29261
0,2020-12-21,28,1,0,0,1450,1479,23943
0,2020-12-28,66,4,0,0,1687,1757,23372
0,2021-01-04,174,5,0,0,1585,1764,21992
0,2021-01-11,156,5,0,0,1531,1692,15155
0,2021-01-18,268,10,0,0,1550,1828,13475
0,2021-01-25,513,27,0,7,1064,1611,11497
0,2021-02-01,652,15,0,3,756,1426,10052
0,2021-02-08,529,20,0,5,368,922,7859
0,2021-02-15,544,10,0,1,334,889,6977
0,2021-02-22,669,21,0,3,229,922,7215
0,2021-03-01,822,11,0,0,181,1014,7574
0,2021-03-08,1113,12,0,9,167,1301,8780
0,2021-03-15,1100,9,0,3,108,1220,10486
0,2021-03-22,1057,3,0,2,92,1154,12532
0,2021-03-29,1254,4,0,1,100,1359,12282
0,2021-04-05,1355,6,3,3,81,1448,14130
0,2021-04-12,1607,9,4,3,131,1754,14073
0,2021-04-19,1899,3,12,9,168,2091,14515
0,2021-04-26,1805,7,21,10,185,2028,11861
0,2021-05-03,1485,6,8,14,169,1682,10294
0,2021-05-10,1138,6,17,25,97,1283,7836
0,2021-05-17,1088,2,18,23,120,1251,7337
0,2021-05-24,772,6,29,11,51,869,5101
0,2021-05-31,434,1,27,4,25,491,3510
0,2021-06-07,116,2,31,3,13,165,2311
0,2021-06-14,0,0,0,0,0,0,1228
0,2021-06-21,0,0,0,0,0,0,105
1,2020-02-24,0,0,0,0,10,10,14
1,2020-03-02,0,0,0,0,9,9,131
1,2020-03-09,1,0,0,0,69,70,954
1,2020-03-16,0,0,0,0,32,32,2761
1,2020-03-23,0,0,0,0,9,9,3261
1,2020-03-30,0,0,0,0,19,19,2830
1,2020-04-06,0,0,0,0,19,19,1613
1,2020-04-13,0,0,0,0,4,4,802
1,2020-04-20,0,0,0,0,2,2,429
1,2020-04-27,0,0,0,0,10,10,263
1,2020-05-04,0,0,0,0,5,5,145
1,2020-05-11,0,0,0,0,0,0,88
1,2020-05-18,0,0,0,0,1,1,54
1,2020-05-25,0,0,0,0,0,0,44
1,2020-06-01,0,0,0,0,3,3,40
1,2020-06-08,0,0,0,0,1,1,45
1,2020-06-15,0,0,0,0,2,2,70
1,2020-06-22,0,0,0,0,3,3,103
1,2020-06-29,0,0,0,0,6,6,148
1,2020-07-06,0,0,0,0,6,6,150
1,2020-07-13,0,0,0,0,11,11,214
1,2020-07-20,0,0,0,0,7,7,330
1,2020-07-27,0,0,0,0,7,7,542
1,2020-08-03,0,0,0,0,8,8,412
1,2020-08-10,0,0,0,0,13,13,529
1,2020-08-17,0,0,0,0,17,17,671
1,2020-08-24,0,0,0,0,37,37,883
1,2020-08-31,0,0,0,0,30,30,1147
1,2020-09-07,0,0,0,0,63,63,1425
1,2020-09-14,0,0,0,0,0,0,1443
1,2020-09-21,0,0,0,0,10,10,1078
