region,date,Alpha,BA.1*,BA.2*,BA.2.75*,BA.2.86*,BA.4/5*,BQ.1*,Delta,EG.5.1*,XBB*,XBB.1.16*,others,in_program,not_in_program,sequences,cases
0,2020-02-24,8,0,0,0,0,0,0,0,0,0,0,40,48,0,48,57
0,2020-03-02,3,0,0,0,0,0,0,0,0,0,0,90,93,0,93,377
0,2020-03-09,0,0,0,0,0,0,0,0,0,0,0,380,380,0,380,2265
0,2020-03-16,0,0,0,0,0,0,0,0,0,0,0,583,583,0,583,6558
0,2020-03-23,0,0,0,0,0,0,0,0,0,0,0,269,269,0,269,7345
0,2020-03-30,0,0,0,0,0,0,0,0,0,0,0,244,244,0,244,6024
0,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,175,175,0,175,3600
0,2020-04-13,0,0,0,0,0,0,0,0,0,0,0,89,89,0,89,1837
0,2020-04-20,0,0,0,0,0,0,0,0,0,0,0,60,60,0,60,1167
0,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,84,84,0,84,700
0,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,31,31,0,31,400
0,2020-05-11,1,0,0,0,0,0,0,0,0,0,0,11,12,0,12,231
0,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,12,12,0,12,153
0,2020-05-25,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11,126
0,2020-06-01,1,0,0,0,0,0,0,0,0,0,0,15,16,0,16,98
0,2020-06-08,1,0,0,0,0,0,0,0,0,0,0,10,11,0,11,140
0,2020-06-15,3,0,0,0,0,0,0,0,0,0,0,11,14,0,14,171
0,2020-06-22,5,0,0,0,0,0,0,0,0,0,0,25,30,0,30,359
0,2020-06-29,8,0,0,0,0,0,0,0,0,0,0,51,59,0,59,682
0,2020-07-06,26,0,0,0,0,0,0,0,0,0,0,65,91,0,91,636
0,2020-07-13,15,0,0,0,0,0,0,0,0,0,0,63,78,0,78,715
0,2020-07-20,11,0,0,0,0,0,0,0,0,0,0,70,81,0,81,824
0,2020-07-27,7,0,0,0,0,0,0,0,0,0,0,57,64,0,64,1155
0,2020-08-03,4,0,0,0,0,0,0,0,0,0,0,73,77,0,77,1100
0,2020-08-10,15,0,0,0,0,0,0,0,0,0,0,82,97,0,97,1574
0,2020-08-17,9,0,0,0,0,0,0,0,0,0,0,115,124,0,124,1855
0,2020-08-24,11,0,0,0,0,0,0,0,0,0,0,173,184,0,184,2092
0,2020-08-31,6,0,0,0,0,0,0,0,0,0,0,109,115,0,115,2458
0,2020-09-07,3,0,0,0,0,0,0,0,0,0,0,170,173,0,173,2860
0,2020-09-14,1,0,0,0,0,0,0,0,0,0,0,12,13,0,13,2905
0,2020-09-21,0,0,0,0,0,0,0,0,0,0,0,39,39,0,39,2221
0,2020-09-28,1,0,0,0,0,0,0,0,0,0,0,170,171,0,171,3461
0,2020-10-05,1,0,0,0,0,0,0,0,0,0,0,276,277,0,277,8753
0,2020-10-12,2,0,0,0,0,0,0,0,0,0,0,540,542,0,542,19481
0,2020-10-19,5,0,0,0,0,0,0,0,0,0,0,473,478,0,478,39678
0,2020-10-26,12,0,0,0,0,0,0,0,0,0,0,472,484,0,484,55821
0,2020-11-02,20,0,0,0,0,0,0,0,0,0,0,1126,1146,0,1146,51195
0,2020-11-09,30,0,0,0,0,0,0,0,0,0,0,1076,1106,0,1106,39590
0,2020-11-16,8,0,0,0,0,0,0,0,0,0,0,585,593,0,593,30112
0,2020-11-23,31,0,0,0,0,0,0,0,0,0,0,697,728,0,728,26177
0,2020-11-30,19,0,0,0,0,0,0,0,0,0,0,693,712,0,712,27277
0,2020-12-07,23,0,0,0,0,0,0,0,0,0,0,748,771,0,771,30000
0,2020-12-14,45,0,0,0,0,0,0,0,0,0,0,1629,1674,0,1674,29259
0,2020-12-21,66,0,0,0,0,0,0,0,0,0,0,1404,1470,0,1470,23946
0,2020-12-28,101,2,0,0,0,0,0,2,0,0,0,1682,1787,0,1787,23398
0,2021-01-04,199,0,0,0,0,0,0,1,0,0,0,1568,1768,0,1768,22033
