region,date,C.36*,alpha,beta,delta,gamma,others,sequences,cases
0,2020-02-24,0,0,0,0,0,1,1,1
0,2020-02-25,0,0,0,0,0,0,0,1
0,2020-02-26,0,0,0,0,0,4,4,10
0,2020-02-27,0,0,0,0,0,10,10,10
0,2020-02-28,0,0,0,0,0,7,7,10
0,2020-02-29,0,0,0,0,0,7,7,13
0,2020-03-01,0,0,0,0,0,6,6,11
0,2020-03-02,0,0,0,0,0,5,5,30
0,2020-03-03,0,0,0,0,0,14,14,33
0,2020-03-04,0,0,0,0,0,16,16,61
0,2020-03-05,0,0,0,0,0,21,21,62
0,2020-03-06,0,0,0,0,0,19,19,73
0,2020-03-07,0,0,0,0,0,8,8,49
0,2020-03-08,0,0,0,0,0,9,9,68
0,2020-03-09,0,1,0,0,0,25,26,192
0,2020-03-10,0,0,0,0,0,36,36,210
0,2020-03-11,0,0,0,0,0,63,63,333
0,2020-03-12,0,0,0,0,0,63,63,356
0,2020-03-13,0,0,0,0,0,72,72,432
0,2020-03-14,0,0,0,0,0,42,42,417
0,2020-03-15,0,0,0,0,0,45,45,326
0,2020-03-16,0,0,0,0,0,125,125,1060
0,2020-03-17,0,0,0,0,0,86,86,1082
0,2020-03-18,0,0,0,0,0,71,71,1206
0,2020-03-19,0,0,0,0,0,74,74,835
0,2020-03-20,0,0,0,0,0,60,60,1138
0,2020-03-21,0,0,0,0,0,42,42,691
0,2020-03-22,0,0,0,0,0,34,34,547
0,2020-03-23,0,0,0,0,0,42,42,1461
0,2020-03-24,0,0,0,0,0,28,28,1242
0,2020-03-25,0,0,0,0,0,48,48,1068
0,2020-03-26,0,0,0,0,0,56,56,1114
0,2020-03-27,0,0,0,0,0,22,22,1305
0,2020-03-28,0,0,0,0,0,8,8,722
0,2020-03-29,0,0,0,0,0,3,3,433
0,2020-03-30,0,0,0,0,0,13,13,1307
0,2020-03-31,0,0,0,0,0,54,54,1134
0,2020-04-01,0,0,0,0,0,74,74,1013
0,2020-04-02,0,0,0,0,0,22,22,877
0,2020-04-03,2,0,0,0,0,22,24,927
0,2020-04-04,0,0,0,0,0,11,11,486
0,2020-04-05,0,0,0,0,0,9,9,281
0,2020-04-06,0,0,0,0,0,30,30,924
0,2020-04-07,0,0,0,0,0,61,61,715
0,2020-04-08,0,0,0,0,0,8,8,612
0,2020-04-09,0,0,0,0,0,4,4,560
0,2020-04-10,0,0,0,0,0,6,6,309
0,2020-04-11,0,0,0,0,0,3,3,260
0,2020-04-12,0,0,0,0,0,1,1,219
0,2020-04-13,0,0,0,0,0,1,1,245
0,2020-04-14,0,0,0,0,0,3,3,424
0,2020-04-15,0,0,0,0,0,9,9,328
0,2020-04-16,0,0,0,0,0,4,4,320
0,2020-04-17,0,0,0,0,0,22,22,291
0,2020-04-18,0,0,0,0,0,7,7,145
0,2020-04-19,0,0,0,0,0,3,3,87
0,2020-04-20,0,0,0,0,0,21,21,277
0,2020-04-21,0,0,0,0,0,5,5,213
0,2020-04-22,0,0,0,0,0,3,3,155
0,2020-04-23,0,0,0,0,0,1,1,207
0,2020-04-24,0,0,0,0,0,6,6,167
0,2020-04-25,0,0,0,0,0,1,1,87
0,2020-04-26,0,0,0,0,0,6,6,61
0,2020-04-27,0,0,0,0,0,26,26,173
0,2020-04-28,0,0,0,0,0,13,13,154
0,2020-04-29,0,0,0,0,0,5,5,120
0,2020-04-30,0,0,0,0,0,15,15,101
0,2020-05-01,0,0,0,0,0,16,16,83
0,2020-05-02,0,0,0,0,0,3,3,47
0,2020-05-03,0,0,0,0,0,2,2,22
0,2020-05-04,0,0,0,0,0,10,10,90
0,2020-05-05,0,0,0,0,0,5,5,73
0,2020-05-06,0,0,0,0,0,4,4,79
0,2020-05-07,0,0,0,0,0,6,6,46
0,2020-05-08,0,0,0,0,0,3,3,59
0,2020-05-09,0,0,0,0,0,0,0,39
0,2020-05-10,0,0,0,0,0,0,0,15
0,2020-05-11,0,1,0,0,0,1,2,47
0,2020-05-12,0,0,0,0,0,1,1,42
0,2020-05-13,0,0,0,0,0,2,2,37
0,2020-05-14,0,0,0,0,0,0,0,37
0,2020-05-15,0,0,0,0,0,4,4,41
0,2020-05-16,0,0,0,0,0,3,3,15
0,2020-05-17,0,0,0,0,0,0,0,12
0,2020-05-18,0,0,0,0,0,6,6,34
0,2020-05-19,0,0,0,0,0,4,4,36
0,2020-05-20,0,0,0,0,0,0,0,29
0,2020-05-21,1,0,0,0,0,1,2,11
0,2020-05-22,0,0,0,0,0,0,0,20
0,2020-05-23,0,0,0,0,0,0,0,14
0,2020-05-24,0,0,0,0,0,0,0,10
0,2020-05-25,0,0,0,0,0,1,1,15
0,2020-05-26,0,0,0,0,0,0,0,18
0,2020-05-27,0,0,0,0,0,7,7,25
0,2020-05-28,0,0,0,0,0,3,3,30
0,2020-05-29,0,0,0,0,0,0,0,21
0,2020-05-30,0,0,0,0,0,0,0,10
0,2020-05-31,0,0,0,0,0,0,0,7
0,2020-06-01,0,0,0,0,0,1,1,3
0,2020-06-02,0,0,0,0,0,5,5,23
0,2020-06-03,0,0,0,0,0,5,5,23
0,2020-06-04,0,0,0,0,0,3,3,17
0,2020-06-05,0,0,0,0,0,2,2,15
0,2020-06-06,0,0,0,0,0,0,0,10
0,2020-06-07,0,0,0,0,0,0,0,8
0,2020-06-08,0,0,0,0,0,4,4,25
0,2020-06-09,0,0,0,0,0,1,1,11
0,2020-06-10,0,0,0,0,0,2,2,24
0,2020-06-11,0,0,0,0,0,1,1,25
0,2020-06-12,0,0,0,0,0,2,2,34
0,2020-06-13,0,0,0,0,0,1,1,9
0,2020-06-14,0,0,0,0,0,0,0,12
0,2020-06-15,0,0,0,0,0,6,6,32
0,2020-06-16,0,0,0,0,0,0,0,21
0,2020-06-17,0,0,0,0,0,1,1,18
0,2020-06-18,0,0,0,0,0,1,1,18
0,2020-06-19,0,0,0,0,0,3,3,37
0,2020-06-20,0,0,0,0,0,3,3,32
0,2020-06-21,0,0,0,0,0,0,0,13
0,2020-06-22,0,0,0,0,0,1,1,56
0,2020-06-23,0,0,0,0,0,6,6,37
0,2020-06-24,0,0,0,0,0,4,4,64
0,2020-06-25,0,0,0,0,0,8,8,48
0,2020-06-26,0,0,0,0,0,8,8,92
0,2020-06-27,0,0,0,0,0,2,2,36
0,2020-06-28,0,0,0,0,0,1,1,24
0,2020-06-29,0,0,0,0,0,19,19,160
0,2020-06-30,0,0,0,0,0,6,6,138
0,2020-07-01,0,0,0,0,0,7,7,101
0,2020-07-02,0,0,0,0,0,6,6,127
0,2020-07-03,0,0,0,0,0,13,13,96
0,2020-07-04,0,0,0,0,0,5,5,26
0,2020-07-05,0,0,0,0,0,3,3,36
0,2020-07-06,0,0,0,0,0,19,19,106
0,2020-07-07,0,0,0,0,0,17,17,107
0,2020-07-08,0,0,0,0,0,17,17,97
0,2020-07-09,0,0,0,0,0,19,19,97
0,2020-07-10,0,0,0,0,0,13,13,111
0,2020-07-11,0,0,0,0,0,4,4,71
0,2020-07-12,0,0,0,0,0,2,2,46
0,2020-07-13,0,0,0,0,0,15,15,120
0,2020-07-14,0,0,0,0,0,19,19,129
0,2020-07-15,0,0,0,0,0,12,12,123
0,2020-07-16,0,0,0,0,0,12,12,106
0,2020-07-17,0,0,0,0,0,10,10,115
0,2020-07-18,0,0,0,0,0,2,2,80
0,2020-07-19,0,0,0,0,0,8,8,42
0,2020-07-20,0,0,0,0,0,14,14,127
0,2020-07-21,0,0,0,0,0,16,16,138
0,2020-07-22,0,0,0,0,0,17,17,118
0,2020-07-23,0,0,0,0,0,13,13,143
0,2020-07-24,0,0,0,0,0,8,8,148
0,2020-07-25,0,0,0,0,0,8,8,95
0,2020-07-26,0,0,0,0,0,5,5,57
0,2020-07-27,0,0,0,0,0,18,18,193
0,2020-07-28,0,0,0,0,0,15,15,189
0,2020-07-29,0,0,0,0,0,7,7,220
0,2020-07-30,0,0,0,0,0,10,10,212
0,2020-07-31,0,0,0,0,0,6,6,164
0,2020-08-01,0,0,0,0,0,2,2,97
0,2020-08-02,0,0,0,0,0,6,6,80
0,2020-08-03,0,0,0,0,0,15,15,196
0,2020-08-04,0,0,0,0,0,19,19,181
0,2020-08-05,0,0,0,0,0,15,15,152
0,2020-08-06,0,0,0,0,0,5,5,156
0,2020-08-07,0,0,0,0,0,13,13,185
0,2020-08-08,0,0,0,0,0,6,6,130
0,2020-08-09,0,0,0,0,0,4,4,100
0,2020-08-10,0,0,0,0,0,24,24,281
0,2020-08-11,0,0,0,0,0,16,16,255
0,2020-08-12,0,0,0,0,0,21,21,246
0,2020-08-13,0,0,0,0,0,12,12,273
0,2020-08-14,0,0,0,0,0,12,12,233
0,2020-08-15,0,0,0,0,0,8,8,149
0,2020-08-16,0,0,0,0,0,4,4,137
0,2020-08-17,0,0,0,0,0,15,15,285
0,2020-08-18,0,0,0,0,0,17,17,294
0,2020-08-19,0,0,0,0,0,19,19,285
0,2020-08-20,0,0,0,0,0,22,22,349
0,2020-08-21,0,0,0,0,0,19,19,314
0,2020-08-22,0,0,0,0,0,17,17,192
0,2020-08-23,0,0,0,0,0,15,15,136
0,2020-08-24,0,0,0,0,0,35,35,304
0,2020-08-25,0,0,0,0,0,22,22,338
0,2020-08-26,0,0,0,0,0,32,32,362
0,2020-08-27,0,0,0,0,0,39,39,352
0,2020-08-28,0,0,0,0,0,28,28,377
0,2020-08-29,0,0,0,0,0,17,17,215
0,2020-08-30,0,0,0,0,0,10,10,144
0,2020-08-31,0,0,0,0,0,18,18,347
0,2020-09-01,0,0,0,0,0,9,9,364
0,2020-09-02,0,0,0,0,0,32,32,417
0,2020-09-03,0,0,0,0,0,39,39,438
0,2020-09-04,0,0,0,0,0,5,5,426
0,2020-09-05,0,0,0,0,0,6,6,294
0,2020-09-06,0,0,0,0,0,6,6,170
0,2020-09-07,0,0,0,0,0,50,50,467
0,2020-09-08,0,0,0,0,0,39,39,387
0,2020-09-09,0,0,0,0,0,38,38,462
0,2020-09-10,0,0,0,0,0,37,37,507
0,2020-09-11,0,0,0,0,0,4,4,533
0,2020-09-12,0,0,0,0,0,2,2,266
0,2020-09-13,0,0,0,0,0,3,3,238
0,2020-09-14,0,0,0,0,0,2,2,504
0,2020-09-15,0,0,0,0,0,0,0,458
0,2020-09-16,0,0,0,0,0,3,3,516
0,2020-09-17,0,0,0,0,0,3,3,499
0,2020-09-18,0,0,0,0,0,1,1,444
0,2020-09-19,0,0,0,0,0,2,2,284
0,2020-09-20,0,0,0,0,0,2,2,200
0,2020-09-21,0,0,0,0,0,0,0,395
0,2020-09-22,0,0,0,0,0,0,0,425
0,2020-09-23,0,0,0,0,0,1,1,389
0,2020-09-24,0,0,0,0,0,1,1,310
0,2020-09-25,0,0,0,0,0,32,32,359
0,2020-09-26,0,0,0,0,0,4,4,222
0,2020-09-27,0,0,0,0,0,1,1,120
0,2020-09-28,1,0,0,0,0,5,6,368
0,2020-09-29,0,0,0,0,0,36,36,449
0,2020-09-30,0,0,0,0,0,59,59,540
0,2020-10-01,0,0,0,0,0,51,51,601
0,2020-10-02,0,0,0,0,0,8,8,677
0,2020-10-03,0,0,0,0,0,4,4,512
0,2020-10-04,0,0,0,0,0,5,5,315
0,2020-10-05,0,0,0,0,0,7,7,1018
0,2020-10-06,0,0,0,0,0,11,11,1097
0,2020-10-07,0,0,0,0,0,61,61,1377
0,2020-10-08,0,0,0,0,0,148,148,1472
0,2020-10-09,0,0,0,0,0,16,16,1723
0,2020-10-10,0,0,0,0,0,24,24,1252
0,2020-10-11,0,0,0,0,0,10,10,812
0,2020-10-12,0,0,0,0,0,62,62,2557
0,2020-10-13,0,0,0,0,0,77,77,2687
